subject,clean_auc,auc_dropout_0.1,auc_dropout_0.2,auc_dropout_0.3,auc_dropout_0.5,auc_motor_core,auc_motor_extended,auc_region_dropout_left_motor_strip_0.140625,auc_region_dropout_midline_motor_strip_0.046875,auc_region_dropout_right_motor_strip_0.140625,clean_balanced_accuracy,balanced_accuracy_dropout_0.1,balanced_accuracy_dropout_0.2,balanced_accuracy_dropout_0.3,balanced_accuracy_dropout_0.5,balanced_accuracy_motor_core,balanced_accuracy_motor_extended,balanced_accuracy_region_dropout_left_motor_strip_0.140625,balanced_accuracy_region_dropout_midline_motor_strip_0.046875,balanced_accuracy_region_dropout_right_motor_strip_0.140625
34,0.96,0.932,0.894,0.855,0.807,0.99,0.99,0.92,0.95,0.8400000000000001,0.915,0.6015,0.539,0.5125,0.5,0.905,0.91,0.7150000000000001,0.5650000000000001,0.5
35,0.8800000000000001,0.8310000000000001,0.753,0.741,0.649,0.62,0.8,0.78,0.8600000000000001,0.85,0.76,0.6135,0.5615,0.5555,0.523,0.53,0.67,0.5,0.65,0.52
36,0.5800000000000001,0.582,0.5369999999999999,0.497,0.4269999999999999,0.5599999999999999,0.36,0.5700000000000001,0.5900000000000001,0.63,0.525,0.525,0.498,0.5275,0.4945,0.58,0.4,0.5349999999999999,0.615,0.5700000000000001
37,0.45,0.441,0.471,0.4029999999999999,0.431,0.38,0.35,0.4599999999999999,0.4599999999999999,0.49,0.465,0.48,0.49,0.4965,0.499,0.42,0.475,0.5,0.485,0.48
38,0.51,0.51,0.5,0.5219999999999999,0.484,0.48,0.39,0.5900000000000001,0.51,0.5599999999999999,0.5599999999999999,0.4955,0.5015,0.5035000000000001,0.5,0.5700000000000001,0.47,0.53,0.575,0.54
39,0.6,0.606,0.607,0.635,0.648,0.41,0.63,0.6199999999999999,0.63,0.58,0.645,0.535,0.508,0.513,0.5,0.51,0.615,0.52,0.5349999999999999,0.54
40,0.63,0.568,0.494,0.455,0.452,0.54,0.52,0.67,0.71,0.74,0.5650000000000001,0.5205,0.503,0.5175,0.4895,0.505,0.445,0.615,0.63,0.5
41,0.6399999999999999,0.54,0.445,0.488,0.4529999999999999,0.5599999999999999,0.73,0.52,0.63,0.51,0.5599999999999999,0.485,0.493,0.505,0.485,0.43,0.6300000000000001,0.5,0.525,0.5
42,0.99,0.944,0.877,0.855,0.6990000000000001,0.92,0.98,0.8699999999999999,0.96,0.89,0.955,0.6795,0.609,0.55,0.531,0.8699999999999999,0.91,0.5,0.8699999999999999,0.5
43,0.8699999999999999,0.8370000000000001,0.752,0.6990000000000001,0.633,0.9,0.98,0.7,0.8800000000000001,0.78,0.75,0.5815,0.535,0.5115,0.505,0.765,0.77,0.5,0.705,0.5700000000000001
44,0.67,0.661,0.628,0.618,0.621,0.7,0.78,0.65,0.66,0.6599999999999999,0.645,0.539,0.5445,0.5205,0.5489999999999999,0.6,0.725,0.58,0.65,0.48
45,0.48,0.488,0.474,0.46,0.457,0.43,0.62,0.42,0.47,0.4899999999999999,0.475,0.4835,0.5115,0.486,0.497,0.43,0.68,0.48,0.42,0.49
